Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Operative Temperature [C](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/01  01:00:00,9.766666666666668,6.300000000000001,101883.33333333333,4.908333333333333,234.16666666666667,0.0,0.0,40.45179671013648,-71.61019127702916,-0.031564688666600598,5.021111047429254,23.380591946181327,23.03976014695213,966528.0154354514,0.0,0.0
 01/01  02:00:00,12.5,10.433333333333334,101683.33333333333,6.2,203.33333333333335,0.0,0.0,14.343239802376346,-75.11980363430247,0.008529547348010355,5.006906526488422,23.332229176231299,23.12258609047718,966528.0154354514,0.0,0.0
 01/01  03:00:00,14.433333333333332,12.766666666666666,101483.33333333333,6.2,225.83333333333335,0.0,0.0,49.43569423733292,-69.38001984457915,0.07153538660479515,5.113244277319095,23.34254147925201,23.245258858153219,966528.0154354514,0.0,0.0
 01/01  04:00:00,15.566666666666669,14.241666666666668,101341.66666666667,6.783333333333334,230.0,0.0,0.0,71.24737324626469,-59.02909302535108,0.13651196140425024,5.392253946736005,23.37887054733965,23.35959802697491,966528.0154354514,0.0,0.0
 01/01  05:00:00,16.075,14.933333333333332,101300.0,7.316666666666666,230.0,0.0,0.0,83.97198433228725,-47.42179193056226,0.19212811503208883,5.769490098750126,23.42046067276918,23.444569593455915,966528.0154354514,0.0,0.0
 01/01  06:00:00,16.316666666666668,15.333333333333334,101241.66666666667,7.458333333333333,230.0,0.0,0.0,93.4211667612243,-35.53761264184762,0.2367638828424989,6.166062222203958,23.460986687472205,23.506204687401593,966528.0154354514,0.0,0.0
 01/01  07:00:00,16.75,15.383333333333333,101141.66666666667,7.616666666666667,230.0,0.0,0.0,101.7089373153966,-23.749771199616047,0.27680507126147876,6.594105834204645,23.50490211979533,23.56914809849251,966528.0154354514,0.0,0.0
 01/01  08:00:00,17.0,15.125,101100.0,7.7,224.16666666666667,0.0,0.0,109.82687629211552,-12.303016744736082,0.3594448366544105,7.7073810064639789,23.764480635969503,23.837682564039438,13943697.920235448,12977169.904799996,0.0
 01/01  09:00:00,16.883333333333334,15.174999999999999,101100.0,7.233333333333333,220.0,3.722222222222222,0.0,118.41058918369055,-1.444760305802361,0.43581892044115985,8.968040068747401,24.006404665364387,24.100762592023796,14182909.27381632,12977169.904799996,0.0
 01/01  10:00:00,16.683333333333338,15.475,101100.0,6.491666666666667,237.5,36.833333333333339,11.999999999999999,127.98633885775983,8.512743245586606,0.45750933649156597,9.368910475329939,24.17682299573833,24.151965536355818,14945811.509363983,12977169.904799996,0.0
 01/01  11:00:00,16.775000000000003,14.608333333333335,101158.33333333333,6.2,250.0,116.5,93.16666666666667,139.02888353414375,17.1467201223118,0.46056565554826708,9.427972293196627,24.382859061540527,24.14453493040605,16084696.907676693,12977169.904799996,0.0
 01/01  12:00:00,17.016666666666667,12.791666666666666,101200.0,6.2,250.0,175.25,261.75,151.87352010850248,23.90161013273001,0.4550921251139906,9.32252037872154,24.63062819490106,24.155392628006714,17213901.203122789,12977169.904799996,0.0
 01/01  13:00:00,17.275000000000003,10.716666666666667,101258.33333333333,6.2,296.6666666666667,166.41666666666667,485.6666666666667,166.46948556378707,28.13981601784261,0.4526588460225291,9.276057358667261,24.863435697508817,24.223400455695097,18119612.936867797,12977169.904799996,0.0
 01/01  14:00:00,17.516666666666667,9.158333333333334,101300.0,6.316666666666666,330.0,129.41666666666667,650.75,182.11757083589229,29.325563762497464,0.45205879395261136,9.264636631631876,25.14168711201565,24.330385858423964,19218914.135479504,12977169.904799996,0.0
 01/01  15:00:00,17.71666666666667,8.0,101358.33333333333,6.575000000000002,318.3333333333333,93.25,726.4166666666666,197.59030539466623,27.284892955338525,0.4514936306911424,9.25390547571073,25.40764666178291,24.43862837656755,20320666.426789177,12977169.904799996,0.0
